college,topic,count,URL,TopicForAuthors,first_Author,URL_forAuthor1,second_Author,URL_forAuthor2,third_Author,URL_forAuthor3
Belk College of Business,supply chain management,4,https:\/\/pages.charlotte.edu\/connections\/links\/supply-chain-management\/,supply chain management,SungJune Park,https://pages.charlotte.edu/connections/people/sungjune-park/,Sheng-Hsien Teng,https://pages.charlotte.edu/connections/people/sgteng/,Howard Godfrey,https://pages.charlotte.edu/connections/people/hgodfrey/
Belk College of Business,Macroeconomics,4,https:\/\/pages.charlotte.edu\/connections\/links\/macroeconomics\/,Macroeconomics,Arthur Zillante,https://pages.charlotte.edu/connections/people/azillant/,Rob McGregor,https://pages.charlotte.edu/connections/people/rrmcgreg/,Paul Gaggl,https://pages.charlotte.edu/connections/people/pgaggl/
Belk College of Business,Global marketing,2,https:\/\/pages.charlotte.edu\/connections\/links\/global-marketing\/,Global marketing,Tamara Cohen,https://pages.charlotte.edu/connections/people/tcohen3/,,,,
Belk College of Business,operations management,2,https:\/\/pages.charlotte.edu\/connections\/links\/operations-management\/,operations management,Xiuli He,https://pages.charlotte.edu/connections/people/xhe8/,,,,
Belk College of Business,financial econometrics,2,https:\/\/pages.charlotte.edu\/connections\/links\/financial-econometrics\/,financial econometrics,Christopher Kirby,https://pages.charlotte.edu/connections/people/ckirby10/,I-Hsuan Chiang,https://pages.charlotte.edu/connections/people/ichiang1/,,
Belk College of Business,e-commerce,2,https:\/\/pages.charlotte.edu\/connections\/links\/e-commerce\/,e-commerce,Anthony Stylianou,https://pages.charlotte.edu/connections/people/astylian/,,,,
Belk College of Business,asset pricing,2,https:\/\/pages.charlotte.edu\/connections\/links\/asset-pricing\/,asset pricing,Weidong Tian,https://pages.charlotte.edu/connections/people/wtian1/,Christopher Kirby,https://pages.charlotte.edu/connections/people/ckirby10/,I-Hsuan Chiang,https://pages.charlotte.edu/connections/people/ichiang1/
Belk College of Business,fixed income securities,2,https:\/\/pages.charlotte.edu\/connections\/links\/fixed-income-securities\/,fixed income securities,Tao-Hsien King,https://pages.charlotte.edu/connections/people/tking3/,I-Hsuan Chiang,https://pages.charlotte.edu/connections/people/ichiang1/,,
Belk College of Business,corporate finance,2,https:\/\/pages.charlotte.edu\/connections\/links\/corporate-finance\/,corporate finance,Tao-Hsien King,https://pages.charlotte.edu/connections/people/tking3/,Steven Clark,https://pages.charlotte.edu/connections/people/spclark/,,
Belk College of Business,E-business,2,https:\/\/pages.charlotte.edu\/connections\/links\/e-business\/,E-business,SungJune Park,https://pages.charlotte.edu/connections/people/sungjune-park/,Anthony Stylianou,https://pages.charlotte.edu/connections/people/astylian/,,
Belk College of Business,Tax policy,2,https:\/\/pages.charlotte.edu\/connections\/links\/tax-policy\/,Tax policy,Hughlene Burton,https://pages.charlotte.edu/connections/people/haburton/,,,,
Belk College of Business,quality control,2,https:\/\/pages.charlotte.edu\/connections\/links\/quality-control\/,quality control,Howard Godfrey,https://pages.charlotte.edu/connections/people/hgodfrey/,Moutaz Khouja,https://pages.charlotte.edu/connections/people/mjkhouja/,,
Belk College of Business,public policy,2,https:\/\/pages.charlotte.edu\/connections\/links\/public-policy\/,public policy,Stephanie Potochnick,https://pages.charlotte.edu/connections/people/spotochn/,Joanne Carman,https://pages.charlotte.edu/connections/people/joanne-carman/,Mary Brown,https://pages.charlotte.edu/connections/people/mary-brown/
Belk College of Business,manufacturing,2,https:\/\/pages.charlotte.edu\/connections\/links\/manufacturing\/,manufacturing,Naiquan Zheng,https://pages.charlotte.edu/connections/people/nzheng/,Howard Godfrey,https://pages.charlotte.edu/connections/people/hgodfrey/,Moutaz Khouja,https://pages.charlotte.edu/connections/people/mjkhouja/
Belk College of Business,financial accounting,2,https:\/\/pages.charlotte.edu\/connections\/links\/financial-accounting\/,financial accounting,,,,,,
Belk College of Business,International economics,2,https:\/\/pages.charlotte.edu\/connections\/links\/international-economics\/,International economics,Arthur Zillante,https://pages.charlotte.edu/connections/people/azillant/,Hwan-Chyang Lin,https://pages.charlotte.edu/connections/people/hwlin/,,
Belk College of Business,quality management,2,https:\/\/pages.charlotte.edu\/connections\/links\/quality-management\/,quality management,Afife Sireli,https://pages.charlotte.edu/connections/people/ysireli/,Sheng-Hsien Teng,https://pages.charlotte.edu/connections/people/sgteng/,Howard Godfrey,https://pages.charlotte.edu/connections/people/hgodfrey/
Belk College of Business,statistics,2,https:\/\/pages.charlotte.edu\/connections\/links\/statistics\/,statistics,Yinghao Pan,https://pages.charlotte.edu/connections/people/ypan8/,Qingning Zhou,https://pages.charlotte.edu/connections/people/qzhou8/,Jun Song,https://pages.charlotte.edu/connections/people/jsong19/
Belk College of Business,service management,2,https:\/\/pages.charlotte.edu\/connections\/links\/service-management\/,service management,Howard Godfrey,https://pages.charlotte.edu/connections/people/hgodfrey/,Moutaz Khouja,https://pages.charlotte.edu/connections/people/mjkhouja/,,
Belk College of Business,service operations,2,https:\/\/pages.charlotte.edu\/connections\/links\/service-operations\/,service operations,Howard Godfrey,https://pages.charlotte.edu/connections/people/hgodfrey/,Moutaz Khouja,https://pages.charlotte.edu/connections/people/mjkhouja/,,
Belk College of Business,web,1,https:\/\/pages.charlotte.edu\/connections\/links\/web\/,web,Ming-Chang Huang,https://pages.charlotte.edu/connections/people/mhuang5/,,,,
Belk College of Business,networks,1,https:\/\/pages.charlotte.edu\/connections\/links\/networks\/,networks,Dewan Ahmed,https://pages.charlotte.edu/connections/people/dahmed/,Nicole Peterson,https://pages.charlotte.edu/connections/people/nicole-peterson/,Ming-Chang Huang,https://pages.charlotte.edu/connections/people/mhuang5/
Belk College of Business,optimal software development methodologies,1,https:\/\/pages.charlotte.edu\/connections\/links\/optimal-software-development-methodologies\/,optimal software development methodologies,Monica Johar,https://pages.charlotte.edu/connections/people/msjohar/,,,,
Belk College of Business,planning and control,1,https:\/\/pages.charlotte.edu\/connections\/links\/planning-and-control\/,planning and control,Moutaz Khouja,https://pages.charlotte.edu/connections/people/mjkhouja/,,,,
Belk College of Business,auditing,1,https:\/\/pages.charlotte.edu\/connections\/links\/auditing\/,auditing,,,,,,
Belk College of Business,web personalization,1,https:\/\/pages.charlotte.edu\/connections\/links\/web-personalization\/,web personalization,Monica Johar,https://pages.charlotte.edu/connections/people/msjohar/,,,,
Belk College of Business,network system performance evaluation,1,https:\/\/pages.charlotte.edu\/connections\/links\/network-system-performance-evaluation\/,network system performance evaluation,Ming-Chang Huang,https://pages.charlotte.edu/connections/people/mhuang5/,,,,
Belk College of Business,content delivery systems,1,https:\/\/pages.charlotte.edu\/connections\/links\/content-delivery-systems\/,content delivery systems,Monica Johar,https://pages.charlotte.edu/connections/people/msjohar/,,,,
Belk College of Business,web application programming design,1,https:\/\/pages.charlotte.edu\/connections\/links\/web-application-programming-design\/,web application programming design,Ming-Chang Huang,https://pages.charlotte.edu/connections/people/mhuang5/,,,,
Belk College of Business,computer networking,1,https:\/\/pages.charlotte.edu\/connections\/links\/computer-networking\/,computer networking,Ming-Chang Huang,https://pages.charlotte.edu/connections/people/mhuang5/,,,,
Belk College of Business,business communication technologies,1,https:\/\/pages.charlotte.edu\/connections\/links\/business-communication-technologies\/,business communication technologies,Gary Kohut,https://pages.charlotte.edu/connections/people/gfkohut/,,,,
Belk College of Business,business presentations,1,https:\/\/pages.charlotte.edu\/connections\/links\/business-presentations\/,business presentations,Gary Kohut,https://pages.charlotte.edu/connections/people/gfkohut/,,,,
Belk College of Business,business writing,1,https:\/\/pages.charlotte.edu\/connections\/links\/business-writing\/,business writing,Gary Kohut,https://pages.charlotte.edu/connections/people/gfkohut/,,,,
Belk College of Business,corporate communication,1,https:\/\/pages.charlotte.edu\/connections\/links\/corporate-communication\/,corporate communication,Ashli Stokes,https://pages.charlotte.edu/connections/people/ashli-stokes/,Gary Kohut,https://pages.charlotte.edu/connections/people/gfkohut/,,
Belk College of Business,sustainability of food production,1,https:\/\/pages.charlotte.edu\/connections\/links\/sustainability-of-food-production\/,sustainability of food production,Matthew Metzgar,https://pages.charlotte.edu/connections/people/mmetzgar/,,,,
Belk College of Business,public finance,1,https:\/\/pages.charlotte.edu\/connections\/links\/public-finance\/,public finance,Matthew Metzgar,https://pages.charlotte.edu/connections/people/mmetzgar/,,,,
Belk College of Business,analysis of healthy diets,1,https:\/\/pages.charlotte.edu\/connections\/links\/analysis-of-healthy-diets\/,analysis of healthy diets,Matthew Metzgar,https://pages.charlotte.edu/connections/people/mmetzgar/,,,,
Belk College of Business,economics of obesity,1,https:\/\/pages.charlotte.edu\/connections\/links\/economics-of-obesity\/,economics of obesity,Matthew Metzgar,https://pages.charlotte.edu/connections/people/mmetzgar/,,,,
Belk College of Business,health,1,https:\/\/pages.charlotte.edu\/connections\/links\/health\/,health,Stephanie Potochnick,https://pages.charlotte.edu/connections/people/spotochn/,Jennifer Langhinrichsen-Rohling,https://pages.charlotte.edu/connections/people/jlanghin/,Jhordin James Montegrico,https://pages.charlotte.edu/connections/people/jmontegr/
Belk College of Business,corporate communication strategy,1,https:\/\/pages.charlotte.edu\/connections\/links\/corporate-communication-strategy\/,corporate communication strategy,Gary Kohut,https://pages.charlotte.edu/connections/people/gfkohut/,,,,
Belk College of Business,leadership development,1,https:\/\/pages.charlotte.edu\/connections\/links\/leadership-development\/,leadership development,Jeff Michael,https://pages.charlotte.edu/connections/people/jmichael/,Gary Kohut,https://pages.charlotte.edu/connections/people/gfkohut/,,
Belk College of Business,computer communication,1,https:\/\/pages.charlotte.edu\/connections\/links\/computer-communication\/,computer communication,Ming-Chang Huang,https://pages.charlotte.edu/connections/people/mhuang5/,,,,
Belk College of Business,forensic accounting,1,https:\/\/pages.charlotte.edu\/connections\/links\/forensic-accounting\/,forensic accounting,,,,,,
Belk College of Business,information management,1,https:\/\/pages.charlotte.edu\/connections\/links\/information-management\/,information management,Ming-Chang Huang,https://pages.charlotte.edu/connections/people/mhuang5/,,,,
Belk College of Business,network application programming design,1,https:\/\/pages.charlotte.edu\/connections\/links\/network-application-programming-design\/,network application programming design,Ming-Chang Huang,https://pages.charlotte.edu/connections/people/mhuang5/,,,,
Belk College of Business,empirical finance,1,https:\/\/pages.charlotte.edu\/connections\/links\/empirical-finance\/,empirical finance,Christopher Kirby,https://pages.charlotte.edu/connections/people/ckirby10/,,,,
Belk College of Business,pension accounting,1,https:\/\/pages.charlotte.edu\/connections\/links\/pension-accounting\/,pension accounting,,,,,,
Belk College of Business,management development,1,https:\/\/pages.charlotte.edu\/connections\/links\/management-development\/,management development,Gary Kohut,https://pages.charlotte.edu/connections/people/gfkohut/,,,,
Belk College of Business,negotiation,1,https:\/\/pages.charlotte.edu\/connections\/links\/negotiation\/,negotiation,Gary Kohut,https://pages.charlotte.edu/connections/people/gfkohut/,,,,
Belk College of Business,cost of equity,1,https:\/\/pages.charlotte.edu\/connections\/links\/cost-of-equity\/,cost of equity,,,,,,
Belk College of Business,network management,1,https:\/\/pages.charlotte.edu\/connections\/links\/network-management\/,network management,Ming-Chang Huang,https://pages.charlotte.edu/connections/people/mhuang5/,,,,
Belk College of Business,ecosystem services,1,https:\/\/pages.charlotte.edu\/connections\/links\/ecosystem-services\/,ecosystem services,Craig Depken II,https://pages.charlotte.edu/connections/people/cdepken/,,,,
Belk College of Business,portfolio management,1,https:\/\/pages.charlotte.edu\/connections\/links\/portfolio-management\/,portfolio management,I-Hsuan Chiang,https://pages.charlotte.edu/connections/people/ichiang1/,,,,
Belk College of Business,empirical asset pricing,1,https:\/\/pages.charlotte.edu\/connections\/links\/empirical-asset-pricing\/,empirical asset pricing,I-Hsuan Chiang,https://pages.charlotte.edu/connections/people/ichiang1/,,,,
Belk College of Business,portfolio performance evaluation,1,https:\/\/pages.charlotte.edu\/connections\/links\/portfolio-performance-evaluation\/,portfolio performance evaluation,I-Hsuan Chiang,https://pages.charlotte.edu/connections/people/ichiang1/,,,,
Belk College of Business,applied probability,1,https:\/\/pages.charlotte.edu\/connections\/links\/applied-probability\/,applied probability,Steven Clark,https://pages.charlotte.edu/connections/people/spclark/,,,,
Belk College of Business,derivatives,1,https:\/\/pages.charlotte.edu\/connections\/links\/derivatives\/,derivatives,Steven Clark,https://pages.charlotte.edu/connections/people/spclark/,,,,
Belk College of Business,system design,1,https:\/\/pages.charlotte.edu\/connections\/links\/system-design\/,system design,,,,,,
Belk College of Business,system analysis,1,https:\/\/pages.charlotte.edu\/connections\/links\/system-analysis\/,system analysis,,,,,,
Belk College of Business,mathematical programming,1,https:\/\/pages.charlotte.edu\/connections\/links\/mathematical-programming\/,mathematical programming,,,,,,
Belk College of Business,process analysis,1,https:\/\/pages.charlotte.edu\/connections\/links\/process-analysis\/,process analysis,,,,,,
Belk College of Business,process design,1,https:\/\/pages.charlotte.edu\/connections\/links\/process-design\/,process design,,,,,,
Belk College of Business,synchronous manufacturing systems,1,https:\/\/pages.charlotte.edu\/connections\/links\/synchronous-manufacturing-systems\/,synchronous manufacturing systems,,,,,,
Belk College of Business,derivatives markets,1,https:\/\/pages.charlotte.edu\/connections\/links\/derivatives-markets\/,derivatives markets,Steven Clark,https://pages.charlotte.edu/connections/people/spclark/,,,,
Belk College of Business,financial risk management,1,https:\/\/pages.charlotte.edu\/connections\/links\/financial-risk-management\/,financial risk management,Steven Clark,https://pages.charlotte.edu/connections/people/spclark/,,,,
Belk College of Business,Multinational management strategy,1,https:\/\/pages.charlotte.edu\/connections\/links\/multinational-management-strategy\/,Multinational management strategy,Tamara Cohen,https://pages.charlotte.edu/connections/people/tcohen3/,,,,
Belk College of Business,individual taxation,1,https:\/\/pages.charlotte.edu\/connections\/links\/individual-taxation\/,individual taxation,Hughlene Burton,https://pages.charlotte.edu/connections/people/haburton/,,,,
Belk College of Business,international taxation,1,https:\/\/pages.charlotte.edu\/connections\/links\/international-taxation\/,international taxation,Hughlene Burton,https://pages.charlotte.edu/connections/people/haburton/,,,,
Belk College of Business,partnership taxation,1,https:\/\/pages.charlotte.edu\/connections\/links\/partnership-taxation\/,partnership taxation,Hughlene Burton,https://pages.charlotte.edu/connections/people/haburton/,,,,
Belk College of Business,multinational entrepreneurship,1,https:\/\/pages.charlotte.edu\/connections\/links\/multinational-entrepreneurship\/,multinational entrepreneurship,Tamara Cohen,https://pages.charlotte.edu/connections/people/tcohen3/,,,,
Belk College of Business,stochastic modeling,1,https:\/\/pages.charlotte.edu\/connections\/links\/stochastic-modeling\/,stochastic modeling,Steven Clark,https://pages.charlotte.edu/connections/people/spclark/,,,,
Belk College of Business,mathematical finance,1,https:\/\/pages.charlotte.edu\/connections\/links\/mathematical-finance\/,mathematical finance,Adriana Ocejo Monge,https://pages.charlotte.edu/connections/people/adriana-ocejo-monge/,Steven Clark,https://pages.charlotte.edu/connections/people/spclark/,,
Belk College of Business,random processes,1,https:\/\/pages.charlotte.edu\/connections\/links\/random-processes\/,random processes,Steven Clark,https://pages.charlotte.edu/connections/people/spclark/,,,,
Belk College of Business,securities markets,1,https:\/\/pages.charlotte.edu\/connections\/links\/securities-markets\/,securities markets,Steven Clark,https://pages.charlotte.edu/connections/people/spclark/,,,,
Belk College of Business,stochastic control,1,https:\/\/pages.charlotte.edu\/connections\/links\/stochastic-control\/,stochastic control,Steven Clark,https://pages.charlotte.edu/connections/people/spclark/,,,,
Belk College of Business,decision support systems,1,https:\/\/pages.charlotte.edu\/connections\/links\/decision-support-systems\/,decision support systems,,,,,,
Belk College of Business,computer integrated manufacturing,1,https:\/\/pages.charlotte.edu\/connections\/links\/computer-integrated-manufacturing\/,computer integrated manufacturing,Bei-Tseng Chu,https://pages.charlotte.edu/connections/people/billchu/,,,,
Belk College of Business,labor economics,1,https:\/\/pages.charlotte.edu\/connections\/links\/labor-economics\/,labor economics,Paul Gaggl,https://pages.charlotte.edu/connections/people/pgaggl/,,,,
Belk College of Business,labor markets,1,https:\/\/pages.charlotte.edu\/connections\/links\/labor-markets\/,labor markets,Jill Yavorsky,https://pages.charlotte.edu/connections/people/jyavorsk/,Paul Gaggl,https://pages.charlotte.edu/connections/people/pgaggl/,,
Belk College of Business,labor welfare,1,https:\/\/pages.charlotte.edu\/connections\/links\/labor-welfare\/,labor welfare,Paul Gaggl,https://pages.charlotte.edu/connections/people/pgaggl/,,,,
Belk College of Business,technology adoption,1,https:\/\/pages.charlotte.edu\/connections\/links\/technology-adoption\/,technology adoption,Paul Gaggl,https://pages.charlotte.edu/connections/people/pgaggl/,,,,
Belk College of Business,income distribution,1,https:\/\/pages.charlotte.edu\/connections\/links\/income-distribution\/,income distribution,Paul Gaggl,https://pages.charlotte.edu/connections/people/pgaggl/,,,,
Belk College of Business,communication technology,1,https:\/\/pages.charlotte.edu\/connections\/links\/communication-technology\/,communication technology,Bianca Reisdorf,https://pages.charlotte.edu/connections/people/breisdor/,Paul Gaggl,https://pages.charlotte.edu/connections/people/pgaggl/,,
Belk College of Business,economics of advertising,1,https:\/\/pages.charlotte.edu\/connections\/links\/economics-of-advertising\/,economics of advertising,Craig Depken II,https://pages.charlotte.edu/connections/people/cdepken/,,,,
Belk College of Business,monetary policy,1,https:\/\/pages.charlotte.edu\/connections\/links\/monetary-policy\/,monetary policy,Rob McGregor,https://pages.charlotte.edu/connections/people/rrmcgreg/,,,,
Belk College of Business,local economic development,1,https:\/\/pages.charlotte.edu\/connections\/links\/local-economic-development\/,local economic development,Craig Depken II,https://pages.charlotte.edu/connections/people/cdepken/,,,,
Belk College of Business,regional economic development,1,https:\/\/pages.charlotte.edu\/connections\/links\/regional-economic-development\/,regional economic development,Craig Depken II,https://pages.charlotte.edu/connections/people/cdepken/,,,,
Belk College of Business,conflict resolution,1,https:\/\/pages.charlotte.edu\/connections\/links\/conflict-resolution\/,conflict resolution,,,,,,
Belk College of Business,intellectual capital,1,https:\/\/pages.charlotte.edu\/connections\/links\/intellectual-capital\/,intellectual capital,,,,,,
Belk College of Business,supply chain coordination,1,https:\/\/pages.charlotte.edu\/connections\/links\/supply-chain-coordination\/,supply chain coordination,Xiuli He,https://pages.charlotte.edu/connections/people/xhe8/,,,,
Belk College of Business,Economic impact analysis,1,https:\/\/pages.charlotte.edu\/connections\/links\/economic-impact-analysis\/,Economic impact analysis,John Connaughton,https://pages.charlotte.edu/connections/people/jec/,,,,
Belk College of Business,Regional economics,1,https:\/\/pages.charlotte.edu\/connections\/links\/regional-economics\/,Regional economics,John Connaughton,https://pages.charlotte.edu/connections/people/jec/,,,,
Belk College of Business,Sports economics,1,https:\/\/pages.charlotte.edu\/connections\/links\/sports-economics\/,Sports economics,John Connaughton,https://pages.charlotte.edu/connections/people/jec/,,,,
Belk College of Business,OM-marketing interface,1,https:\/\/pages.charlotte.edu\/connections\/links\/om-marketing-interface\/,OM-marketing interface,Xiuli He,https://pages.charlotte.edu/connections/people/xhe8/,,,,
Belk College of Business,sustainability reporting,1,https:\/\/pages.charlotte.edu\/connections\/links\/sustainability-reporting\/,sustainability reporting,,,,,,
Belk College of Business,management accounting,1,https:\/\/pages.charlotte.edu\/connections\/links\/management-accounting\/,management accounting,,,,,,
Belk College of Business,sustainability,1,https:\/\/pages.charlotte.edu\/connections\/links\/sustainability\/,sustainability,Blaine Brownell,https://pages.charlotte.edu/connections/people/bbrowne3/,Liz McCormick,https://pages.charlotte.edu/connections/people/emccorm4/,Brook Muller,https://pages.charlotte.edu/connections/people/bmuller7/
Belk College of Business,sustainability costing,1,https:\/\/pages.charlotte.edu\/connections\/links\/sustainability-costing\/,sustainability costing,,,,,,
Belk College of Business,sustainability management,1,https:\/\/pages.charlotte.edu\/connections\/links\/sustainability-management\/,sustainability management,,,,,,
Belk College of Business,applied public choice,1,https:\/\/pages.charlotte.edu\/connections\/links\/applied-public-choice\/,applied public choice,Craig Depken II,https://pages.charlotte.edu/connections/people/cdepken/,,,,
Belk College of Business,information systems management,1,https:\/\/pages.charlotte.edu\/connections\/links\/information-systems-management\/,information systems management,Anthony Stylianou,https://pages.charlotte.edu/connections/people/astylian/,,,,
Belk College of Business,capabilities agility,1,https:\/\/pages.charlotte.edu\/connections\/links\/capabilities-agility\/,capabilities agility,,,,,,
Belk College of Business,competence,1,https:\/\/pages.charlotte.edu\/connections\/links\/competence\/,competence,,,,,,
Belk College of Business,competitive advantage,1,https:\/\/pages.charlotte.edu\/connections\/links\/competitive-advantage\/,competitive advantage,,,,,,
Belk College of Business,corporate social responsibility,1,https:\/\/pages.charlotte.edu\/connections\/links\/corporate-social-responsibility\/,corporate social responsibility,Ashli Stokes,https://pages.charlotte.edu/connections/people/ashli-stokes/,,,,
Belk College of Business,business ethics,1,https:\/\/pages.charlotte.edu\/connections\/links\/business-ethics\/,business ethics,,,,,,
Belk College of Business,business analytics,1,https:\/\/pages.charlotte.edu\/connections\/links\/business-analytics\/,business analytics,SungJune Park,https://pages.charlotte.edu/connections/people/sungjune-park/,,,,
Belk College of Business,behavioral economics,1,https:\/\/pages.charlotte.edu\/connections\/links\/behavioral-economics\/,behavioral economics,Peter Schwarz,https://pages.charlotte.edu/connections/people/pschwarz/,,,,
Belk College of Business,big data analytics,1,https:\/\/pages.charlotte.edu\/connections\/links\/big-data-analytics\/,big data analytics,Angelina Tzacheva,https://pages.charlotte.edu/connections/people/aatzache/,,,,
Belk College of Business,branding,1,https:\/\/pages.charlotte.edu\/connections\/links\/branding\/,branding,Robin Rothberg,https://pages.charlotte.edu/connections/people/robin-rothberg/,,,,
Belk College of Business,data science,1,https:\/\/pages.charlotte.edu\/connections\/links\/data-science\/,data science,Douglas Hague,https://pages.charlotte.edu/connections/people/dhague/,Rob Cramer,https://pages.charlotte.edu/connections/people/rcramer4/,Yinghao Pan,https://pages.charlotte.edu/connections/people/ypan8/
Belk College of Business,data visualization,1,https:\/\/pages.charlotte.edu\/connections\/links\/data-visualization\/,data visualization,Dimitrios Papanikolaou,https://pages.charlotte.edu/connections/people/dpapanik/,Ming-Chun Lee,https://pages.charlotte.edu/connections/people/mlee137/,Aidong Lu,https://pages.charlotte.edu/connections/people/alu1/
Belk College of Business,mobile analytics,1,https:\/\/pages.charlotte.edu\/connections\/links\/mobile-analytics\/,mobile analytics,,,,,,
Belk College of Business,mobile strategy,1,https:\/\/pages.charlotte.edu\/connections\/links\/mobile-strategy\/,mobile strategy,,,,,,
Belk College of Business,retail marketing,1,https:\/\/pages.charlotte.edu\/connections\/links\/retail-marketing\/,retail marketing,,,,,,
Belk College of Business,retail merchandising,1,https:\/\/pages.charlotte.edu\/connections\/links\/retail-merchandising\/,retail merchandising,,,,,,
Belk College of Business,market strategy,1,https:\/\/pages.charlotte.edu\/connections\/links\/market-strategy\/,market strategy,,,,,,
Belk College of Business,innovation,1,https:\/\/pages.charlotte.edu\/connections\/links\/innovation\/,innovation,,,,,,
Belk College of Business,digital strategy,1,https:\/\/pages.charlotte.edu\/connections\/links\/digital-strategy\/,digital strategy,,,,,,
Belk College of Business,firm strategy,1,https:\/\/pages.charlotte.edu\/connections\/links\/firm-strategy\/,firm strategy,,,,,,
Belk College of Business,image positioning,1,https:\/\/pages.charlotte.edu\/connections\/links\/image-positioning\/,image positioning,,,,,,
Belk College of Business,text mining,1,https:\/\/pages.charlotte.edu\/connections\/links\/text-mining\/,text mining,Sangkil Moon,https://pages.charlotte.edu/connections/people/smoon13/,,,,
Belk College of Business,emotion management,1,https:\/\/pages.charlotte.edu\/connections\/links\/emotion-management\/,emotion management,Janaki Gooty,https://pages.charlotte.edu/connections/people/jgooty/,,,,
Belk College of Business,emotions,1,https:\/\/pages.charlotte.edu\/connections\/links\/emotions\/,emotions,Janaki Gooty,https://pages.charlotte.edu/connections/people/jgooty/,Lisa Walker,https://pages.charlotte.edu/connections/people/lisa-walker/,,
Belk College of Business,leadership,1,https:\/\/pages.charlotte.edu\/connections\/links\/leadership\/,leadership,Mya Wilson,https://pages.charlotte.edu/connections/people/mwils211/,Rebecca Shore,https://pages.charlotte.edu/connections/people/rshore6/,Janaki Gooty,https://pages.charlotte.edu/connections/people/jgooty/
Belk College of Business,social media,1,https:\/\/pages.charlotte.edu\/connections\/links\/social-media\/,social media,Erika Montanaro,https://pages.charlotte.edu/connections/people/emontana/,Sangkil Moon,https://pages.charlotte.edu/connections/people/smoon13/,Heather Freeman,https://pages.charlotte.edu/connections/people/hdfreema/
Belk College of Business,movie marketing,1,https:\/\/pages.charlotte.edu\/connections\/links\/movie-marketing\/,movie marketing,Sangkil Moon,https://pages.charlotte.edu/connections/people/smoon13/,,,,
Belk College of Business,culture and consumers,1,https:\/\/pages.charlotte.edu\/connections\/links\/culture-and-consumers\/,culture and consumers,Sangkil Moon,https://pages.charlotte.edu/connections/people/smoon13/,,,,
Belk College of Business,customer relationship management,1,https:\/\/pages.charlotte.edu\/connections\/links\/customer-relationship-management\/,customer relationship management,Sangkil Moon,https://pages.charlotte.edu/connections/people/smoon13/,,,,
Belk College of Business,marketing analytics,1,https:\/\/pages.charlotte.edu\/connections\/links\/marketing-analytics\/,marketing analytics,Sangkil Moon,https://pages.charlotte.edu/connections/people/smoon13/,,,,
Belk College of Business,insurance regulation,1,https:\/\/pages.charlotte.edu\/connections\/links\/insurance-regulation\/,insurance regulation,Faith Neale,https://pages.charlotte.edu/connections/people/frneale/,,,,
Belk College of Business,insurer solvency,1,https:\/\/pages.charlotte.edu\/connections\/links\/insurer-solvency\/,insurer solvency,Faith Neale,https://pages.charlotte.edu/connections/people/frneale/,,,,
Belk College of Business,enterprise business processes,1,https:\/\/pages.charlotte.edu\/connections\/links\/enterprise-business-processes\/,enterprise business processes,,,,,,
Belk College of Business,information technologies,1,https:\/\/pages.charlotte.edu\/connections\/links\/information-technologies\/,information technologies,Bianca Reisdorf,https://pages.charlotte.edu/connections/people/breisdor/,,,,
Belk College of Business,management information systems,1,https:\/\/pages.charlotte.edu\/connections\/links\/management-information-systems\/,management information systems,,,,,,
Belk College of Business,international finance,1,https:\/\/pages.charlotte.edu\/connections\/links\/international-finance\/,international finance,Lloyd Blenman,https://pages.charlotte.edu/connections/people/lblenman/,,,,
Belk College of Business,futures,1,https:\/\/pages.charlotte.edu\/connections\/links\/futures\/,futures,Lloyd Blenman,https://pages.charlotte.edu/connections/people/lblenman/,,,,
Belk College of Business,medical malpractice,1,https:\/\/pages.charlotte.edu\/connections\/links\/medical-malpractice\/,medical malpractice,Faith Neale,https://pages.charlotte.edu/connections/people/frneale/,,,,
Belk College of Business,asset pricing models,1,https:\/\/pages.charlotte.edu\/connections\/links\/asset-pricing-models\/,asset pricing models,Lloyd Blenman,https://pages.charlotte.edu/connections/people/lblenman/,,,,
Belk College of Business,continuous-time finance,1,https:\/\/pages.charlotte.edu\/connections\/links\/continuous-time-finance\/,continuous-time finance,Lloyd Blenman,https://pages.charlotte.edu/connections/people/lblenman/,,,,
Belk College of Business,storytelling,1,https:\/\/pages.charlotte.edu\/connections\/links\/storytelling\/,storytelling,,,,,,
Belk College of Business,systematic creativity,1,https:\/\/pages.charlotte.edu\/connections\/links\/systematic-creativity\/,systematic creativity,,,,,,
Belk College of Business,job stress,1,https:\/\/pages.charlotte.edu\/connections\/links\/job-stress\/,job stress,,,,,,
Belk College of Business,personality differences in organizations,1,https:\/\/pages.charlotte.edu\/connections\/links\/personality-differences-in-organizations\/,personality differences in organizations,,,,,,
Belk College of Business,government debt,1,https:\/\/pages.charlotte.edu\/connections\/links\/government-debt\/,government debt,,,,,,
Belk College of Business,long-run economic growth,1,https:\/\/pages.charlotte.edu\/connections\/links\/long-run-economic-growth\/,long-run economic growth,,,,,,
Belk College of Business,job burnout,1,https:\/\/pages.charlotte.edu\/connections\/links\/job-burnout\/,job burnout,,,,,,
Belk College of Business,fairness perceptions and fairness consequences,1,https:\/\/pages.charlotte.edu\/connections\/links\/fairness-perceptions-and-fairness-consequences\/,fairness perceptions and fairness consequences,,,,,,
